feature,chi2,p_value,cramers_v
Skin darkening (Y/N),120.25140000774189,5.573087703802324e-28,0.46992898814679124
hair growth(Y/N),114.59898851794028,9.633522761918661e-27,0.458656504716977
Weight gain(Y/N),103.3061128236112,2.8716592631832218e-24,0.4352619726492101
Fast food (Y/N),75.52742425112976,3.60366763318716e-18,0.37184249036472516
Pimples(Y/N),43.064041801642134,5.2977026100864203e-11,0.27909355326656976
Hair loss(Y/N),15.437093672236685,8.529746219991551e-05,0.16349929960280027
Reg.Exercise(Y/N),1.9981651790167492,0.15748975012488223,0.04295382412779825
Pregnant(Y/N),0.2989686750004424,0.5845296923733834,0.0
